trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.5, 'e': 0.3728}",25,0,-76.92459196043127,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.36639999999999995}",25,7,36.16002913120954,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36}",25,17,10.017882560271143,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3535999999999999}",20,13,13.288065532812396,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.34719999999999995}",20,11,-27.87572781408666,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3408}",30,18,7.357303063999149,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3343999999999999}",20,9,20.26431091219973,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.32799999999999996}",25,2,-18.411696990493905,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3216}",30,18,7.8520233299606454,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3151999999999999}",20,0,4.598170645451069,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.30879999999999996}",20,8,6.627698966088377,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.3024}",20,6,-28.887776333047924,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.29599999999999993}",25,2,21.213108375175416,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.28959999999999997}",20,8,-5.288352297289073,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.2832}",20,5,-7.153677178845288,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.27679999999999993}",25,8,16.70668122859079,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.2704}",30,0,29.89578928621402,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.264}",25,15,6.3957844091781775,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.25759999999999994}",20,14,4.187868643193778,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.2512}",35,19,18.39624517865857,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.24480000000000002}",25,15,6.3688368522794025,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.23839999999999995}",30,18,3.525073813790117,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.23199999999999998}",25,14,-31.717472312858085,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2255999999999999}",30,0,-25.54989371914047,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.21919999999999995}",25,13,18.887387470411237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2128}",20,15,4.695776347153918,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.20639999999999992}",20,0,-11.574711184690958,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.19999999999999996}",30,6,4.796793087740298,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,14,20.193775149008918,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,8,32.40237055188099,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,12,18.396199880658997,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,16,18.981049996423742,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,13,23.47899325133381,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,18,11.891060288389768,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,17,28.767529254594095,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,10,27.868570122150313,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,9,21.107275962561314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,15,11.617921557519534,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
